Unnamed: 0,fecha,HORA declarada,Ruta,OperadOR,flight_no,route,ac_type,registration,cn_ln,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,summary,_year,fallecidos_porcentaje
4616,2007-01-09,00:00,"Near Balad Air Base, Iraq",Moldovan Aeriantur-M Air Cargo,?,"Adana, Turkey - Balad Air Base, Iraq",Antonov 26B-100,ER-26068,11308,35,30,5,34,29,5,0,"The cargo plane crashed in fog while attempting to land for a second time at Balad Air Base. After the first attempt to land was aborted, the plane crashed 2.5km short of the runway.The plane was carrying Turkish construction workers.",2007,97.14
4635,2007-06-25,10:40,"Near Sihanoukville, Cambodia",PMT Air,241,Siem Reap - Sihanoukville,Antonov AN-24V,XU-U4A,99901908,22,16,6,22,16,6,0,"The aircraft crashed into Phnom Damrey Mountain at an elevation of 1,640 feet, about 5 minutes from its destination of Sihanoukville.",2007,100.0
4640,2007-07-23,13:00,"Near Shinile, Ethiopia",Djibouti Airlines,?,Dire Dawa - Djibouti,Antonov AN-26V,EX-030,7306103,9,3,6,1,1,0,0,The cargo plane crashed shortly after taking off after an engine failed. The pilot was trying to return for an emergency landing.,2007,11.11
4642,2007-07-29,04:17,"Moscow, Russia",Atran,9655,Sightseeing,Antonov AN-12BP,RA-93912,4341709,9,0,9,9,0,9,0,"The cargo plane, carrying 9 tons of cargo, crashed 4 km from the runway as it was attempting to take off from Domodedovo airport. The aircraft slammed into a field shattering debris over a wide area.",2007,100.0
4648,2007-08-26,16:00,"Kongolo, Democratic Republic Congo",Great Lakes Business Complany,?,Kongolo - Goma,Antonov AN-32,9Q-CAC,14-07,15,12,3,14,11,3,0,"The cargo plane, carrying tin ore, lost one of it's two engines eleven minutes after taking off and tried to return to the airport. Due to strong back winds and a fully loaded plane, the aircraft clipped tree tops and crashed and burned 3 km short of the runway. The plane was overloaded by 3 tons.",2007,93.33
4649,2007-09-07,00:00,"Goma, Democratic Republic Congo",Galaxy Kavatsi Airlines,?,Kisangi - Goma - Bukavu,Antonov AN-12BP,4L-SAS,3341108,8,6,2,8,6,2,0,"The cargo plane, carrying palm oil, overshot the runway, crashed into a petrified lava flow and caught fire.",2007,100.0
4652,2007-10-04,10:40,"Kinshasa, DR Congo",Africa One Congo,?,Kinshasa - Tshikapa,Antonov AN-26,9Q-COS,47302001,22,17,5,21,17,4,30,While attempting to take off the No. 2 engine failed. The cargo plane crashed into a Congolese neighborhood and caught fire about three miles from the airport. The plane's mechanic was the only survivor aboard the plane.,2007,95.45
4654,2007-11-08,08:00,"Khartoum, Sudan",Juba Air Cargo,?,Khartoum - Juba,Antonov 12,ST-JUA,3341110,4,0,4,0,0,0,2,"While taking off, an engine on the cargo plane failed after the plane hit a hawk. The aircraft tried to return to the airport but crashed. The plane was transporting goods and foodstuffs for traders and international organizations in Juba. Two Sudanese soldiers were killed on the ground.",2007,0.0
4666,2008-04-03,11:00,"Lawa, Suriname",Blue Wing Airlines,?,Paramaribo - Lawa,Antonov An-28,PZ-TSO,1AJ007-17,19,17,2,19,17,2,0,While attempting to land the crew aborted the the approach and executed a go-around. Soon after the plane flew into a hillside.,2008,100.0
4668,2008-04-11,22:15,"Chrisinau, Moldova",Kata Transportation,?,"Chrisinau, Moldova - Antalya, Turkey - Sudan",Antonov An-32,ST-AZL,3009,8,0,8,8,0,8,0,"Just minutes after the take off the plane tried to return to the airport because of engine problems, but crashed about 100 metres away from the runway. Pilots tried to land the transport, which was carrying a cargo of 2.3 tons of fuel, but a wing struck a fence and electrical wires and the plane crashed and burst into flames. All eight crew members aboard were killed",2008,100.0
4674,2008-05-26,18:15,"Near Chelyabinsk, Russia",Moskovia Airlines,GAI-9675,Chelyabinsk - Perm,Antonov An-12,RA-12957,8345508,9,0,9,9,0,9,0,"The crew of the cargo plane reported a fire shortly after taking off from Chelyabinsk. The plane crashed in a field while attempting to make an emergency landing, after striking a power transmission line.",2008,100.0
4682,2008-06-27,07:05,"Near Malakal, Sudan",Juba Air Cargo,?,Khartoum - Juba,Antonov 12BK,ST-ARN,8346010,8,6,2,7,5,2,0,The cargo plane crashed mid-flight after entering an area of thunderstorms. Triple engine failure.,2008,87.5
4702,2008-11-13,11:35,"Fallujah, Iraq",Falcon Aviation Group,?,al-Asad air base - Baghdad,Antonov An-12,S9-SAO,346908,7,0,7,7,0,7,0,"The cargo plane, chartered by FedEx, crashed west of Baghdad, shortly after taking off from al Asad air base and after the crew reported a malfunction with the plane.",2008,100.0
4716,2009-02-20,04:10,"Luxor, Egypt",Aerolift,?,"Entebbe, Uganda - Luxor, Egypt - Niklaev, Ukraine",Antonov 12V,S9-SVN,6344310,5,0,5,5,0,5,0,"While attemping to take off from Luxor, the cargo plane slammed to the ground, slid down the runway and caught fire.",2009,100.0
4728,2009-05-26,00:00,"Near Isiro, Democratic Republic Congo",Service Air,?,Goma - Isiro,Antonov An-26,9Q-CSA,5005,4,0,4,4,0,3,?,The cargo plane crashed while on approach to Isiro-Matari Airport.,2009,100.0
