Unnamed: 0,fecha,HORA declarada,Ruta,OperadOR,flight_no,route,ac_type,registration,cn_ln,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,summary,_year,fallecidos_porcentaje
2440,1969-10-13,17:27,"Nizhnevartovsk, Russia",Aeroflot,227,Surgut - Nizhnevartovsk,Antonov An-24B,CCCP-47772,79901404,56,52,4,24,22,2,0,"The plane crashed 1,090 mshort of the runway while on approach A propeller accidently feathered when the de-icing system was activated causing the plane to lose altitude and crash.",1969,42.86
2442,1969-11-13,02:33,"Near Anderma, Russia",Aeroflot,5009,Amderma - Moscow,Antonov An-12TB,CCCP-11376,402406,12,9,3,12,9,3,0,Crashed on approach. Icing.,1969,100.0
2447,1969-12-06,07:07,"Near Khantanga, Russia",Aeroflot,5135,Syktyvkar - Khatanga,Antonov An-12PL,CCCP-11381,402807,8,2,6,8,2,6,0,Crashed short of the runway on approach. Icing.,1969,100.0
2458,1970-01-28,20:53,"Near Batagai, Russia",Aeroflot,?,Chokurdakh - Batagay,Antonov AN-24,CCCP-47701,59900202,34,28,6,34,28,6,0,Crashed into a mountain while on approach after executing a premature descent.,1970,100.0
2461,1970-02-04,13:45,"Apuseni mountains, Romania",Tarom,?,Bucharest - Oradea,Antonov AN-24V,YR-AMT,77303310,22,18,4,21,17,4,0,"While descending in poor weather conditions, the airplane struck tree tops, stalled and crashed in a snow covered hill located in the Vladeasa Mountain Range, about 73 km southeast of Oradea Airport.",1970,95.45
2473,1970-04-01,04:07,"Novosibirsk, Russia",Aeroflot,1661,Krasnoyarsk - Novosibirs,Antonov AN-24V,CCCP-47751,79901204,45,40,5,45,40,5,0,The aircraft crashed after colliding with a radiosonde weather balloon and disintegrated in the air.,1970,100.0
2484,1970-05-15,11:49,"Kishiniev, Moldavia, USSR",Aeroflot,?,Training,Antonov AN-10,CCCP11149,9 4 008 02,11,0,11,11,0,11,0,"On final, the airplane banked left, lost height and crashed in a large explosion a few km short of runway threshold. Pilot error.",1970,100.0
2530,1971-01-22,21:36,"Surgut, USSR",Aeroflot,?,Omsk - 	Surgut,Antonov AN-12B,CCCP 11000,5343610,14,12,2,14,12,2,0,Crashed 15 km short of the runway. Icing. The engine bleed valves were not open causing  the anti-icing system to become ineffective.,1971,100.0
2533,1971-01-31,04:41,"Voroshilovgrad, Russia",Aeroflot,?,Tyumen - Surgut,Antonov AN-10,CCCP-12996,00347403,7,6,1,7,6,1,0,Aileron oscillations coincided with flap extension. The crew misunderstood aileron oscillations for asymmetrical flap extension and retracted the flaps. The airspeed dropped to 172 knots and the aileron suddenly deflected causing a left roll. The aircraft undershot the runway and crashed. The hinge moment reversal on the ailerons caused by icing.,1971,100.0
2537,1971-03-31,12:59,"Vorochilovgrad, Ukraine",Aeroflot,1969,Kuibyshev - Lugansk,Antonov An-10,CCCP-11145,8400701,65,57,8,65,57,8,0,"Crashed on approach resulting from structural failure of the right outer wing. A portion of 13 m2 detached from the upper surface of the right wing during the approach, causing the aircraft to be uncontrollable.",1971,100.0
2563,1971-09-17,07:30,"Rila mountain, Bulgaria",Balkan Bulgarian Airlines,?,Kardjali - Sofia,Antonov An-14,LZ-7005,601609,9,7,2,9,6,2,0,"Crashed on Sveti Duh peak in the Rila mountains while en route. While giving directions to the aircraft, the ATC confused the aircraft with another Turkish aircraft which was flying almost the same route, but at 9000 m altitude.",1971,100.0
2574,1971-11-12,11:25,"Vinnitsa, Russia",Aeroflot,H-63,Kiev - Vinnitsa,Antonov AN-24,CCCP-46809,67302306,48,43,5,48,43,5,0,The plane crashed  on a a go-around 850 m short of the runway. Stalled for unknown reasons.,1971,100.0
2577,1971-12-01,21:48,"Saratov, Russia",Aeroflot,2174,Ufa - Saratov,Antonov AN-24,CCCP-46788,57301801,57,53,4,57,53,4,0,During approach the plane made a large roll and vertical rate of descent and crashed. Icing.,1971,100.0
2606,1972-05-18,11:53,"Near Kharkov, Ukraine, USSR",Aeroflot,1491,Moscow - :	Kharkov,Antonov AN-10A,CCCP-11215,0402502,122,115,7,122,115,7,0,Structural failure and separation of both wings due to a fatigue crack in the center wing section.,1972,100.0
2662,1973-01-21,23:56,"Perm, Russia",Aeroflot,?,Kazan - Perm,Antonov An-24B,CCCP-46276,77303609,39,34,5,39,34,5,0,"The plane went into a spiral dive. As the crew tried to pull the plane out, it broke up due to excesss g loads. Four survived the crash as the plane landed in a blanket of snow but succumbed to the cold before they could be rescued. Cause unknown.",1973,100.0
2699,1973-08-18,18:51,"Baku, Azerbaijan, USSR",Aeroflot,A-13,Baku - Aktau,Antonov AN-24V,CCCP-46435,87304305,64,60,4,56,54,2,0,Crashed after after attemping a return to the airport for an emergency landing. Left engine failure.,1973,87.5
2710,1973-10-02,23:36,"Magadan, Russia",Aeroflot,3932,Yakutsk - Magadan,Antonov AN-12V,CCCP-12967,9346502,10,8,2,10,8,2,0,The cargo plane struck high ground after going off course during a go-around. Crew error.,1973,100.0
2727,1974-01-06,15:25,"Mukachevo, Ukraine",Aeroflot,H-75,"Ivano-Frankovsk, Ukraine - Uzhgorod, Ukraine",Antonov AN-24V,CCCP-46357,77303405,24,18,6,24,18,6,0,The plane dove into the ground 100 meters behind the outer marker while on approach.  Icing of the horizontal stabilizer.,1974,100.0
2738,1974-03-08,00:00,"Hanoi, Vietnam",Pathet Lao Airlines,?,Saigon - Hanoi,Antonov An-24,XW-TCA,87304508,18,15,3,18,15,3,0,"Fifiteen journalists aboard for an Asian tour. On approach to Hanoi Airport, the aircraft crashed for unknown reasons.",1974,100.0
2767,1974-11-01,14:56,"Near Surgut, Russia",Aeroflot,662,Khanty - Surgut,Antonov An-2 / Mil Mi-8T,CCCP-70766,1G132-21,38,32,6,38,32,6,0,Midair collision between a An-2 and a Mil Mi-8T in poor weather.,1974,100.0
2774,1974-12-04,04:58,"Irkutsk, Russia",Aeroflot,?,Irkutsk - Kazachinskoye,Antonov An-2 / Antonov An-12,49342/12985,1G12-26/00347110,18,11,7,13,11,2,0,The An-2 crashed after colliding with Antonov 12 over Irkutsk airport. The ATC cleared the An-2 for takeoff crossing An-12s flight path. The An-12 landed safely. Eleven passengers and 2 crew killed on the An-2,1974,72.22
2780,1974-12-29,00:00,"Near Sibiu, Romania",Tarom,?,Oradea - Sibiu - Bucharest,Antonov AN-24RV,YR-AMD,27307606,33,28,5,33,28,5,0,"Crashed into Lotru mountains, 22 km south of Sibiu after drifting 20 km off course by winds and turbulence. Wrong decisions on part of the flying crew who adopted a wrong approach configuration, causing the aircraft to drift.",1974,100.0
2786,1975-01-16,00:00,"Xam Neua, Laos",Aeroflot,?,Vientiane - Sam Neua,Antonov AN-12,CCCP-70417,1G141-71,16,14,2,16,14,2,0,"En route from Vientiane to Sam Neua, the crew encountered poor weather conditions when the airplane struck the slope of a mountain located in the region of Sam Neua. Flying VFR in IFR weather.",1975,100.0
2798,1975-03-18,10:04,"Near Terney, Russia",Aeroflot,?,Terney - Amgu,Antonov An-2,CCCP-05655,?,12,10,2,7,6,1,0,"Crashed during climbout. The crew failed to prepare the flight properly as the total weight of the aircraft was 449 kilos above the MTOW and the CofG was out of the enveloppe, too far aft. This caused the airplane to enter a high angle of attack during the initial climb and to stall and crash.",1975,58.33
2826,1975-11-17,22:14,"Near Sukhumi, Georgia, USSR",Aeroflot,6274,Tbilisi - Sukhumi,Antonov AN-24,CCCP-46467,27307905,38,33,5,38,33,5,0,"The crew attempted to circumnavigate a thunderstorm but los track of their positon. They descended until the struck Mount Apshara at 2,250 meters.",1975,100.0
2828,1975-11-20,19:38,"Kharkov, Ukraine, USSR",Aeroflot,7950,"Rostov, Russia - 	Kharkov, Ukraine",Antonov AN-24,CCCP-46349,97305708,50,46,4,19,18,1,0,Crashed into trees on a slope of a hill near Kharkov Airport. Air traffic control reported a wrong QNH setting to the crew. Crew ignored ground proximity warnings.,1975,38.0
2829,1975-11-22,00:00,"Sofia, Bulgaria",Balkan Bulgarian Airlines,?,Sofia - Varna,Antonov AN-24B,LZ-ANA,67302707,48,45,3,3,2,1,0,Crashed shortly after takeoff. Stalled crashed. Icing.,1975,6.25
2839,1976-01-21,00:00,"Near Shanghai, China",CAAC,?,Guangzhou - Changsha,Antonov AN-24,B-492,?,40,36,4,40,36,4,0,Crashed during the approach. Reasons unknown.,1976,100.0
2856,1976-05-15,10:48,"Chernigov, Ukraine, USSR",Aeroflot,1802,?,Antonov AN-24,CCCP-46534,57310108,52,46,6,52,46,6,0,"After entering the wake turbulence of a MiG fighter plane, the rudder deflected sharply and both propellers feathered causing the plane to go into a spin and crash.",1976,100.0
2871,1976-09-09,13:51,"Off Adler, Russia",Aeroflot / Aeroflot,7957 /31,Donetsk - Sochi /Rostov na Donu - Kerch,Antonov AN-24 / Yakovlev Yak-40,CCCP46518/87772,37308504 / 9030713,64,55,9,64,55,9,0,"Midair collision at FL187.  ATC error. Forty-six deaths on the Antonov, 18 on the Yak. Violation of separation rules. Contributing causes were insufficient visual alertness on the part of both crews and a lack of situation analysis based on air/ground radio communications.",1976,100.0
2886,1976-12-17,21:30,"Kiev, USSR",Aeroflot,H-36,Chernivtsi - Kiev,Antonov AN-24RV,CCCP-46672,47309604,55,50,5,48,44,4,0,"In heavy fog  the crew continued their descend below decision height, although they had not obtained visual contact with the runway. The fact that visibility had decreased below minima (700 m) was not reported to the crew.",1976,87.27
2910,1977-05-13,08:45,"Beiruit, Lebanon",LOT Polish Airlines,?,"Varna, Bulgaria  - Beiruit, Lebanon",Antonov An-12BP,SP-LZA,6344307,9,0,9,9,0,9,0,The cargo plane struck power lines and trees while attempting to land.,1977,100.0
2918,1977-07-08,00:00,"Off Kirovograd, Ukraine",Aeroflot,?,?,Antonov AN-24,CCCP-46847,27307505,7,?,?,6,?,?,0,Crashed into the Black Sea shortly after taking off from Kirovograd.,1977,85.71
2945,1977-12-09,19:25,"Tarko-Saley, USSR",Aeroflot,134,Tarko-Sale - Surgut,Antonov AN-24,CCCP-47695,27307602,23,18,5,17,13,4,0,The plane took off at night and entered a steep attitude after the flaps were raised and crashed.,1977,73.91
2992,1978-10-23,19:41,"Gulf of Sivash, USSR",Aeroflot,6515,Krasnodar - t:	Simferopol,Antonov AN-24B,CCCP-46327,97305504,26,21,5,26,21,5,0,Crashed following engine flame out in icing conditions.,1978,100.0
3004,1979-01-15,13:05,"Minsk, Russia",Aeroflot,7502,Tallinn - Minsk,Antonov AN-24N,CCCP46807,67302207,13,9,5,13,8,5,0,The pilot switched off the de-icing system too early during the approach through clouds in icing conditions  which resulted in the aircraft losing longitudinal stability and pitching over and crashed.,1979,100.0
3039,1979-08-24,00:00,"Near Enisseysk, USSR",Aeroflot,?,Norisk - Krasnoyarsk,Antonov AN-12,CCCP-12963,9346407,16,10,6,11,5,6,0,Crashed into a wooded area after all four engines flamed out. Fuel contamination.,1979,68.75
3041,1979-09-03,01:01,"Andema, Russia",Aeroflot,A-513,Arkhangelsk - 	Amderma,Antonov AN-24,CCCP-46269,77303602,44,37,7,40,35,5,0,The plane undershot the runway and crashed.,1979,90.91
3050,1979-10-27,07:15,"Lensk, Russia",Aeroflot,?,Lensk -	Peleduy,Antonov An-2TP,CCCP-32322,1G97-34,12,10,2,3,2,1,0,The cargo plane crashed on takeoff. Improper loading.,1979,25.0
3058,1979-12-09,00:00,"Cherskiy, Russia",Aeroflot,?,?,Antonov AN-26,CCCP-26547,2810,7,2,5,7,2,5,0,Shifting cargo caused the pilot to lose control and crash into a hotel.,1979,100.0
3080,1980-04-14,20:05,"Krasnoyarsk, Russia",Aeroflot,151,Krasnoyarsk - Yeniseisk,Antonov An-24B,CCCP-47732,69900905,53,49,4,2,2,0,0,The plane crashed when attempting an emergency landing after the starboard main gear broke on take-off.,1980,3.77
3118,1981-03-26,00:00,"Redzikowo, Poland",LOT Polish Airlines,?,Varsovie-Slupsk,Antonov AN-24B,SP-LTU,07306007,52,47,5,1,1,0,0,Separation of a propeller blade caused a forced landing resulting the the plane crashing and burining.,1981,1.92
3123,1981-04-28,12:31,"Batagay, Russia",Aeroflot,?,Batagay - 	Lazo,Antonov An-2TP,CCCP-92864,1G53-16,12,10,2,12,10,2,0,Crashed into a mountainside. Icing.,1981,100.0
3163,1982-01-25,00:00,"Constanta, Romania",Tarom,?,Training,Antonov An-24RV,YR-BMD,57310202,7,0,7,7,0,7,0,A malfunction of the No. 1 engine feathering system caused the aircraft to lose control and crash.,1982,100.0
3206,1982-11-29,00:00,"Lubango, Angola",TAAG Angola Airlines,?,?,Antonov AN-26,D2-TAB,4607,15,9,6,15,9,6,0,Flew into a mountain while descending for a landing.,1982,100.0
3211,1982-12-23,20:44,"Rostov-on-Don, Russia",Aeroflot,?,Rostov-on-Don - Krasnovodsk,Antonov AN-26,CCCP-26627,5208,16,0,16,16,0,16,0,"Inadequate and untimely actions of the crew in retracting  the flaps after takeoff, which resulted in severe loss of height and collision with obstacles. Overloaded,",1982,100.0
3260,1983-12-24,08:53,"Leshukonskoye, Russia",Aeroflot,601,Arkhangelsk - Leshukonskoye,Antonov AN-24,CCCP-46617,37308704,49,44,5,44,39,5,0,"The airliner crashed on approach in adverse weather. Instead of a go-around the pilot put the plane in a tight turn to the right with a high slip angle, leading to a loss of airspeed. After descending through decision height the pilot attempted a go-around but the plane rolled to the left and lost altitude. After the bank angle reached 90 degrees the aircraft crashed short of  the runway.",1983,89.8
3266,1984-01-28,00:00,"Izhevsk, Russia",Aeroflot,?,Kuibyshev - Izhevsk,Antonov An-24RV,CCCP-47358,67310607,51,47,4,4,3,1,0,The aircraft crashed after the elevator failed. Disconnection of the linkage of the elevators control rod.,1984,7.84
3286,1984-08-04,00:00,"Nawabshah, Pakistan",Aeroflot,?,Aden - Karachi - Tashkent,Antonov AN-12BP,CCCP-10232,3 3 411 07,24,15,9,24,15,9,0,The plane flew into severe weather and hail penetrated the oil radiatiors. Power was lost in all four engines and load limits were exceeded during an emergency descent. The plane broke up and crashed.,1984,100.0
3295,1984-09-16,00:00,"Opole, Poland",APRL,?,Airshow,Antonov An-2T,SP-AMK,1G168-04,25,22,3,11,11,0,0,Crashed during takeoff. Overloaded,1984,44.0
3311,1985-01-18,00:00,"Jinan, China",CAAC,5109,Nanjing - Jinan,Antonov AN-24B,B-434,27308110,41,34,7,38,31,7,0,Crashed after overshooting the runway in rain and fog.,1985,92.68
3322,1985-02-22,00:00,"Timbuktu, Mali",Air Mali,?,Tombouctou - Bamako,Antonov AN-24V,TZ-ACT,87304104,51,49,2,50,48,2,0,Crashed after taking off. The plane was not able to return to the airport after experiencing an engine failure.,1985,98.04
3331,1985-05-03,12:13,"Near L'vov, Ukraine, USSR",Aeroflot / Soviet Air Force,8381,Tallin - L'vov,Tupolev TU-134A / Antonov An-26,CCCP65856/26492,23253 /,76,73,3,76,73,3,0,Midair collision as the Tupolev-134A prepared to land and the Antonov An-26 just took off.  Violations by the civil approach and military controllers. Misidentification of both aircraft. Seventy-one killed on the TU134 and twenty-three on the Antonov.,1985,100.0
3347,1985-09-04,11:00,"Near Kandahar, Afghanistan",Ariana Afghan Airlines,?,Kandahar - Farah,Antonov AN-26,YA-BAM,57314106,52,47,5,52,47,5,0,Shot down by rebels with a ground-to-air missile while flying at FL130.,1985,100.0
3350,1985-09-25,00:00,"Near Kharkov, Ukraine",MAP,?,Dnepropetrovsk - Moscow,Antonov An-12,CCCP-69321,1901708,9,4,5,9,4,5,0,The plane crashed en route after a fire in the No. 1 engine which led to the seperation of the outer wing.,1985,100.0
3371,1986-03-02,03:03,"Near Bugulma, Russia",Aeroflot,?,Cheboksary - Bugulma,Antonov AN-24B,CCCP-46423,07304108,38,34,4,38,34,4,0,"The aircraft entered a left bank and turn, stalled and crashed 5 miles short of the runway. Failure of the autofeather sensor circuit breaker caused propellers to feather.",1986,100.0
3375,1986-03-25,00:00,"Omsk, Soviet Union",Ministerstvo Obshchestvo Mashinostroyeniya,?,?,Antonov An-12AP,CCCP-11795,1400103,9,3,6,9,3,6,0,"The cargo plane descended below minima weather conditions, undershot the runway, overturned and caught fire.",1986,100.0
3413,1986-12-15,00:00,"Near Lanzhou, China",CAAC,?,Lanzhou - Chengdu,Antonov AN-24RV,B-3413,37308907,44,37,7,6,6,0,0,"The No. 2 engine failed due to severe icing conditions 30 minutes after leaving Lanzhou. With the prop feathered, the plane crashed before reaching the airport.",1986,13.64
3424,1987-03-06,19:10,"Near Almaty, Kazakhstan",Aeroflot,?,Biysk - Alma-Ata,Antonov An-26,CCCP-26007,9901,9,4,5,9,4,5,0,The cargo plane struck the side of a mountain while setting up for the approach. The ATC didn't monitor the plane for at least  2 minutes after observing the plane taking a wrong course. When the ATC tried to contact the plane to tell them of the mistake the crew never responded because communications in the vicinity of the mountain blocked the signal.,1987,100.0
3438,1987-06-11,06:30,"Khost, Afghanistan",Bakhtar Afghan Airlines,?,Khost-Kaboul,Antonov AN-26,YA-BAL,14105,53,48,5,53,48,5,0,Shot down by rebel forces with a surface-to-air missile.,1987,100.0
3450,1987-09-13,00:00,"Kunduz, Afghanistan",Aeroflot,?,Kaboul-Kunduz,Antonov AN-26,?,?,15,13,2,15,13,2,0,Shot down by Afghan rebels on approach.,1987,100.0
3455,1987-10-19,00:00,"Komsomolsk-on-Amur, Russia",MAP,?,?,Antonov An-12B,CCCP-12162,9346702,9,2,7,9,2,7,0,The plane overran the runway while attempting to take off crashed into a building and was destroyed.,1987,100.0
3517,1988-10-04,23:00,"Near Batagay, Russia",Aeroflot,?,Tikis - Batagay,Antonov 12BP,CCCP-11418,401712,6,0,6,6,0,6,0,"The cargo flight crew decided on a visual approach, ignored the GPWS warning and flew into a mountain.",1988,100.0
3524,1988-11-02,00:00,"Near Rzeszow, Poland",LOT Polish Airlines,703,Warszawa - Rzeszow,Antonov AN-24B,SP-LTD,67302209,29,25,4,1,1,0,0,"The plane attempted to make an emergency landing due to engine failure, struck a ditch and caught fire.",1988,3.45
3557,1989-06-18,13:20,"Zabol, Iran",Ariana Afghan Airlines,?,Kabul - Zaranj,Antonov AN-26,YA-BAK,14104,39,35,4,6,6,0,0,A ramp door opened in flight causing loss of control of the aircraft. The plane crashed into a hill.,1989,15.38
3564,1989-07-19,11:02,"Talourow Island, USSR",Aeroflot,?,Observation flight out of Cape Schmidt,Antonov AN-26,CCCP-26685,8805,10,6,4,10,6,4,0,Crashed into costal cliffs while on an ice observation flight.,1989,100.0
3577,1989-08-15,00:00,"Shanghai, China, China",China Eastern Airlines,?,Shanghai - Hongqiao,Antonov AN-24RV,B-3417,37309006,40,34,6,34,28,6,0,Lost power and crashed into a river shortly after taking off from Shanghai.,1989,85.0
3592,1989-09-28,20:08,"Semyonovka ,Ukraine",MAP,?,Mukachevo - 	Moscow,Antonov An-32,CCCP-48095,1705,9,4,5,9,4,5,0,Failure of the autopilot caused the plane to enter a spiral descent. Attempts to pull the plane out caused the aircraft to break-up in midair and crash into a swamp.,1989,100.0
3605,1989-11-21,17:28,"Near Tyumem, Russia",Aeroflot,?,Perm - Sovietsky,Antonov AN-24,CCCP-46335,97305602,42,36,6,34,28,6,0,The plane collided with  trees 180 m from the Inner Marker.  Weather was below minima with a 80 m cloud base and 2000 m visibility in haze and snow.,1989,80.95
3615,1989-12-28,00:00,"Near Visina, Romania",Tarom,?,Bicharest - Beogard,Antonov An-24RV,YR-BMJ,77310801,7,1,6,7,1,6,0,Crashed in poor weather conditions. Rumors suggest the plane was shot down.,1989,100.0
3624,1990-01-26,00:00,"Zavkhan, Mongolia",MIAT - Mongolian Airlines,?,Ulan Bator - Uliastaj,Antonov AN-26V,BNMAU-10208,57310208,30,25,5,30,25,5,0,The Antonov crashed after failing to find the destination airport at night.,1990,100.0
3636,1990-03-23,00:00,Santiago de Cuba,Cubana de Aviacion,?,Santiago de Cuba-La Havane,Antonov AN-26,CU-T1436,07406,46,41,5,4,4,0,0,"During takeoff, close to V1 the takeoff was aborted. The aircraft overran the runway and crashed.",1990,8.7
3686,1991-02-22,00:00,"Cazombo, Angola",Fuerza Area Angolaise,?,Luena-Cazombo,Antonov AN-26,?,?,47,43,4,47,43,4,0,Shot down by surface-to-air missile launced by UNITA rebels.,1991,100.0
3693,1991-03-23,11:37,"Navoi,  Uzbekistan",Aeroflot,?,Trashkent - Navoi,Antonov AN-24B,CCCP-46472,27307910,63,59,4,34,30,4,0,The aircraft overran the runway and crashed into concrete blocks. Crew error. Did not follow proper procedures during landing.,1991,53.97
3708,1991-06-26,00:00,"Gulf of Finland, Russia",AKF Polet,?,Saint Petersburg - Voronezh,Antonov AN-24,CCCP-46724,7300304,10,4,6,10,4,6,0,The cargo plane crashed into the Gulf of Finland shortly after taking off.,1991,100.0
3723,1991-09-16,19:21,"Petropavlosk, USSR",Aeroflot,?,Lensk - Omsk,Antonov AN-72,CCCP-74002,SU002,13,7,6,13,7,6,0,"The cargo plane struck trees, crashed and caught fire on takeoff. Overloaded",1991,100.0
3726,1991-09-23,00:00,"Khatanga, Russia",Aeroflot,?,?,Antonov 12BP,CCCP-13320,07345407,16,9,7,1,1,0,0,"The cargo plane lost engine power due to fuel exhaustion during approach and made a forced landing 1,450m short of the runway.",1991,6.25
3727,1991-09-26,00:00,"Off St. Petersburg, USSR",Aeroflot,?,St. Petersburg - Voronezh,Antonov AN-26,CCCP-46724,AN24021,10,7,3,10,7,3,0,Crashed into the Gulf of Finland 5 minutes after taking  off. Unknown cause.,1991,100.0
3738,1991-11-16,16:24,"Anderma, Russia",Aeroflot,?,Ryazan - Vorkuta,Antonov AN-12V,?,?,20,14,6,20,14,6,0,Crash landed in poor weather conditions. Icing.,1991,100.0
3742,1991-11-26,05:02,"Near Bugulma, Russia",Tartarstan Airlines,?,Nizhnevartovsk - Bugulma,Antonov AN-24,CCCP-47823,17307204,41,37,4,41,37,4,0,"While on approach to Bugulma, the plane yawed to the right. The crew decided to go around but crashed 800 m short and to the right of the runway. Horizontal stabilizer icing.",1991,100.0
3758,1992-04-07,00:00,"Near Sarra, Libya",Air Bissau,?,Khartoum - Tunis,Antonov AN-24RV,J5-GAE,77310810,13,10,3,3,0,3,0,"Could not land due to a sandstorm, ran out of fuel and made a forced landing in the desert. Crash landed in the desert, 62 miles southeast of Sarra. Among the passengers was Yasser Arafat.",1992,23.08
3768,1992-06-22,12:45,"Norlisk, Russia",Krasnoyarsk Airlines,?,Igarka - Omsk,Antonov AN-12,CCCP-11896,AN12145,12,7,5,10,6,4,0,"A missed approach was followed by the left wing and landing gear hitting the runway which led to a stall and crash, right of the runway. Crew error.",1992,83.33
3774,1992-07-24,00:00,"Near Skopje, Macedonia",Volga-Dnepr Airlines,?,?,Antonov 12BK,CCCP-11342,00347607,8,2,6,8,2,6,0,"On approach, the cargo plane went off course while trying to circumnavigate a thunderstorm and impacted a mountain.",1992,100.0
3797,1992-10-09,00:00,"Mogadiscio, Somalia",Kiev Production Association,?,?,Antonov 32,CCCP-48088,2905,13,7,6,1,0,1,0,The cargo plane veered off the runway and crashed while attempting to land at night with just the headlights of several trucks.,1992,7.69
3799,1992-10-19,10:58,"Near Usti Nem, Russia",Syktyvkar Avia,302,Ust'-Him - 	Syktyvkar,Antonov AN-28,CCCP-28785,IAJ005-18,16,14,2,15,13,2,0,Crashed on takeoff. The aircraft became airborne but then stalled and crashed. Engine failure.,1992,93.75
3801,1992-10-29,00:00,"Chita, Russia",Aeroflot,?,Petropavlovsk - Novosobrisk,Antonov AN-8,CCCP-69346,OD-3430,14,9,5,13,8,5,0,"Crashed 1,600m short of the runway threshold while attempting to land at Chita.",1992,92.86
3831,1993-04-23,00:00,"Zavnah, Mongolia",MIAT - Mongolian Airlines,?,Ulan Bator - Bayan Olgiy,Antonov AN-26B,BHMAY-14102,14102,40,34,6,32,26,6,0,Flew into the side of Marz Mountain while descending.,1993,80.0
3841,1993-06-17,22:15,"Near Tbilisi, Georgia",Tajikistan Airlines,?,Batumi - Baku - Chimkent,Antonov AN-26,RA-26035,SU035,41,36,5,41,36,5,0,The crew reported they were diverting due to thunderstorms. Soon after the aircraft crashed after encountering severe turbulence.,1993,100.0
3861,1993-11-15,19:07,"Near Kerman, Iran",Magistralnye Avialinii,?,Dubai - Kerman,Antonov AN-124,RA-82071,07-04,17,14,3,17,14,3,0,Crashed while in a holding pattern and after running out of fuel. The crew did not follow a standard holding pattern.,1993,100.0
3868,1993-12-26,20:57,"Gyumri, Armenia",Kuban Airlines,5719,Krasnadar - Gyumri,Antonov AN-26,RA-26141,12903,36,31,5,36,31,5,0,The aircraft stalled and crashed in fog when the tail struck the runway as the pilot attempted a go-around as it landed at Gyumri.,1993,100.0
3871,1994-02-24,11:16,"Nalchik, Russia",North Western Air Transport,SP9045,Volgograd - Nalchik,Antonov AN-12V,RA-11118,013480002,13,7,6,13,7,6,0,"While on approach the nose pitched up, the aircraft stalled and crashed short of the runway. Icing of the horizontal stabilizer.",1994,100.0
3920,1994-09-30,11:10,"Chaibukha, Russia",Arsenyev Aviation Production Association,?,Chaibukha - Provedenia,Antonov AN-8,RA-27209,OA-3460,20,13,7,8,3,5,0,"The cargo plane failed to gain altitude, overran the runway and crashed. Crew error.",1994,40.0
3921,1994-10-08,15:45,"Mitu, Colombia",SELVA,?,Villavicencio - Mitu,Antonov AN-32B,HK3929X,3301,10,5,5,10,5,5,0,"The cargo plane landed short of the runway bounced, collapsed the landing gear, veered off the runway and crashed into another plane and vehicles.",1994,100.0
3925,1994-10-29,21:30,"Near Ust'-Ilimsk, Russia",Aeronica,?,Yushno - Ust Ilimsk,Antonov AN-12A,RA-11790,1340302,23,16,7,23,16,7,0,The cargo plane suddenly pitched down and collided with a hill. Icing.,1994,100.0
3926,1994-10-29,10:32,"Batagaj, Russia",Yakutavia,?,?,Antonov AN-2,RA-33008,1G217-55,19,17,2,7,7,0,0,Pitched up and crashed on takeoff. Overweight and improperly loaded.,1994,36.84
3951,1995-03-16,00:00,"Ossora, Russia",Aeroflot,?,Petropavlovsk -  Ossora,Antonov 26B,RA-26084,11806,10,4,6,9,3,6,0,The cargo plane flew into high ground while on approach in poor weather conditons. Controllled flight into terrain.,1995,90.0
3963,1995-06-16,00:00,"Volgograd, Russia",Volga Air,?,Poliny Osipenko - Nikolayevsk-on-Amur,Antonov 2R,CCCP-68142,1G195-47,12,?,?,12,?,?,0,Crashed in poor weather condtions.,1995,100.0
3964,1995-06-16,14:15,"Herputchi, Russia",Aeroflot,?,Poliny - Nikolayevsk-on-Amur,Antonov AN-2,RA-07743,1G259-18,14,12,2,13,11,2,0,Flying VOR the plane ran into poor weather and the pilot decided to return however crashed into trees while attempting to land.,1995,92.86
3973,1995-08-02,00:00,"Johannesburg, South Africa",Aero Air,?,Johannesburg - Jamba,Antonov An-2R,RA-05708,1G153-21,3,0,3,3,0,3,0,During the takeoff cargo shifted in the plane causing the aircraft to lose altitude and crash into power lines.,1995,100.0
3982,1995-09-11,00:00,"Jalalabad, Afghanistan",Ariana Afghan Airlines,?,Kabul - Jalalabad,Antonov AN-26B,YA-BAO,14305,51,44,7,3,3,0,0,Crashed after running out of fuel.,1995,5.88
3985,1995-09-21,12:30,"Near Moron, Mongolia",MIAT - Mongolian Airlines,?,Ulan Bator - Moron,Antonov AN-24RV,BNMAU-10103,573101103,43,37,6,42,36,6,0,The plane crashed into mountains after a premature descent.,1995,97.67
3999,1995-12-13,19:00,"Verona  - Villafranca, Italy",Romanian Banat Air,166,Verona - Timisoara,Antonov AN-24B,YR-AMR,77303309,49,41,8,49,41,8,0,The plane crashed and burned shortly after takeoff after reaching a height of 500 ft. Combination of overloading and icing.,1995,100.0
